"","Name of the ecoregion / ID","Number of species (and observations)","Plant Richness","Lat (min; max)","Lon (min; max)","Area"
"168","Dinaric Mountains mixed forests/ 80418","40 (46)","3700","46 (43;46)","14 (14;20)","58286"
"169","Eastern Gobi desert steppe/ 81314","40 (62)","400","43.7 (41;45)","112 (104;113)","282368"
"170","Daurian forest steppe/ 80804","39 (5664)","1200","50.1 (48;50)","106.2 (106;107)","209634"
"171","Great Basin shrub steppe/ 51305","39 (99)","2519","39.5 (37;41)","-112.9 (-120;-112)","336212"
"172","Southwest Australia woodlands/ 11210","39 (44)","2000","-32 (-35;-31)","116.1 (116;118)","46026"
"173","Northern Vietnam lowland rain forests/ 40141","38 (47)","2800","20.2 (20;20)","105.7 (106;106)","22522"
"174","Kalahari xeric savanna/ 31309","37 (97)","700","-23.3 (-28;-22)","21.7 (19;24)","586846"
"175","Selenge-Orkhon forest steppe/ 80816","36 (50)","1000","47.1 (47;50)","101.7 (99;105)","228369"
"176","Southeast Tibet shrublands and meadows/ 81017","35 (93)","2500","33 (30;33)","97 (94;103)","460542"
"177","Victoria Basin forest-savanna mosaic/ 30721","35 (35)","2500","-0.3 (0;0)","32.2 (32;35)","165042"
"178","Wasatch and Uinta montane forests/ 50530","35 (53)","1109","40.5 (40;41)","-111.6 (-112;-111)","41509"
"179","Hawaii tropical dry forests/ 70202","34 (206)","659","20 (19;22)","-155.5 (-160;-155)","6614"
"180","Southern Africa bushveld/ 30717","34 (70)","1500","-23.7 (-26;-20)","28.1 (28;31)","222541"
"181","Eastern Guinean forests/ 30111","33 (53)","3200","6.7 (7;7)","-1.3 (-2;-1)","188895"
"182","Maputaland-Pondoland bushland and thickets/ 31012","33 (36)","2100","-32 (-32;-32)","28.5 (28;28)","19515"
"183","Guinean forest-savanna mosaic/ 30707","32 (136)","2500","7.7 (7;8)","-1.7 (-2;7)","670796"
"184","KwaZulu-Cape coastal forest mosaic/ 30116","32 (45)","2000","-33 (-34;-28)","27.8 (26;32)","17779"
"185","Northeastern coastal forests/ 50411","32 (85)","1695","41.8 (40;42)","-72.7 (-74;-71)","89778"
"186","Northland temperate kauri forests/ 10406","32 (33)","850","-37.8 (-38;-37)","175.3 (175;176)","29939"
"187","Sumatran peat swamp forests/ 40160","32 (51)","2000","-1.3 (-1;-1)","104.2 (104;104)","87120"
"188","Wyoming Basin shrub steppe/ 51313","32 (38)","1557","40.5 (40;42)","-107.2 (-111;-106)","132577"
"189","Taiheiyo montane deciduous forests/ 80441","31 (82)","2700","36.1 (35;37)","138.3 (136;141)","41913"
"190","Borneo peat swamp forests/ 40104","30 (30)","2500","4.6 (-1;5)","114.4 (110;114)","67172"
"191","Central and Southern Cascades forests/ 50508","29 (134)","1296","44.2 (43;47)","-122.1 (-123;-122)","44950"
"192","Highveld grasslands/ 31009","29 (55)","1900","-28.2 (-28;-27)","28.2 (27;28)","185863"
"193","Victoria Plains tropical savanna/ 10709","29 (102)","1200","-17.1 (-18;-16)","130.9 (130;133)","224881"
"194","Himalayan subtropical pine forests/ 40301","28 (35)","1000","29.4 (29;29)","79.5 (79;80)","76125"
"195","Mediterranean dry woodlands and steppe/ 81213","28 (4247)","1200","33 (33;33)","-4 (-4;-3)","292082"
"196","Piney Woods forests/ 50523","28 (56)","1729","30.5 (30;34)","-94.1 (-94;-92)","140797"
"197","South Siberian forest steppe/ 80817","28 (30)","1300","53 (53;56)","105 (85;105)","162600"
"198","Vanuatu rain forests/ 10126","28 (37)","950","-19.5 (-20;-19)","169.5 (169;170)","13156"
"199","Khangai Mountains alpine meadow/ 81007","27 (27)","500","47.5 (48;48)","99 (99;99)","37168"
"200","Scandinavian coastal conifer forests/ 80520","27 (42)","600","68.2 (68;68)","13.8 (13;14)","19401"
"201","Snake-Columbia shrub steppe/ 51309","27 (48)","2169","43.5 (42;47)","-118 (-121;-115)","218533"
"202","Zambezian Cryptosepalum dry forests/ 30203","27 (72)","1300","-14.9 (-15;-14)","23.5 (24;24)","38085"
"203","Gobi Lakes Valley desert steppe/ 81315","26 (1087)","400","45.9 (45;46)","99 (99;99)","139714"
"204","Jalisco dry forests/ 60217","25 (29)","1500","19.5 (20;20)","-105 (-105;-105)","26050"
"205","Kimberly tropical savanna/ 10706","25 (54)","2000","-14.3 (-16;-14)","132.1 (131;133)","346656"
"206","Central Pacific coastal forests/ 50510","24 (45)","1109","48.6 (43;51)","-124 (-128;-123)","73863"
"207","Northern Acacia-Commiphora bushlands and thickets/ 30711","24 (29)","1300","-0.2 (-1;2)","36.9 (37;38)","324482"
"208","Palouse grasslands/ 50813","24 (26)","1290","47 (46;48)","-117.1 (-119;-117)","46993"
"209","Tamaulipan mezquital/ 51312","24 (24)","1900","27.7 (28;28)","-98.2 (-98;-98)","141231"
"210","Hawaii tropical high shrublands/ 70701","23 (36)","124","19.5 (19;21)","-155.5 (-156;-155)","1848"
"211","Northern Canadian Shield taiga/ 50612","23 (23)","720","58 (58;58)","-100 (-100;-100)","617319"
"212","Southern Andean steppe/ 61008","23 (23)","800","-32 (-32;-30)","-70 (-70;-70)","124779"
"213","Interior Alaska-Yukon lowland taiga/ 50607","22 (277)","810","64 (64;67)","-147.9 (-153;-137)","446261"
"214","Northern short grasslands/ 50811","22 (36)","1867","51.1 (51;51)","-107.2 (-108;-107)","640109"
"215","Tibetan Plateau alpine shrublands and meadows/ 81020","22 (53)","1400","32 (30;32)","91 (89;92)","271999"
"216","Central African mangroves/ 31401","21 (21)","200","4 (4;4)","9.7 (10;10)","30791"
"217","Florida sand pine scrub/ 50513","21 (23)","951","29.2 (27;29)","-81.7 (-82;-81)","3879"
"218","Richmond temperate forests/ 10408","21 (28)","1000","-41.3 (-42;-41)","173.7 (173;174)","13216"
"219","Southeastern Iberian shrubs and woodlands/ 81219","21 (138)","400","37 (37;37)","-2.1 (-2;-2)","2868"
"220","Western Java montane rain forests/ 40167","21 (23)","2000","-6.7 (-7;-7)","106.5 (107;107)","26171"
